title,content,type
A Final Goodbye,"Do not weep for me, for I will soon be gone.
My body may die, but my soul will live on. 
Perhaps up to heaven, maybe eternity, 
or be reborn as another, when I am set free.

Do not weep for me, for I will soon be gone.
I was a survivor since my first breath was drawn. 
I loved and was loved by animals and man, 
siblings, friends, and strangers since my life began.

I was blessed with a father who taught me well, 
to live this life on earth as a heaven, not hell. 
A mother who taught me to stand on my feet, 
a faith that anchored me, all strangers to greet.

If you fear dying, you'll not live a full life, 
as pain and dread will cut through like a knife. 
Live each day with joy while you're here on this earth; 
make each day count, with compassion and mirth.

Do not weep for me, for I will soon be gone,
my body may die, but my soul will live on. 
I leave all of you with my love, and I pray
that our souls will touch once again someday.",Death
My Best Friends Departure,"I jumped, you caught me.
I laughed, you joked.
I was down, you picked me up.
I crumbled, you glued me back together.
I loved you, you loved me back.

You jumped, I couldn't catch you.
You forgot to laugh, I couldn't remind you.
You were down, I couldn't hold you.
You crumbled, I had no glue.
You loved me, I still love you.

Without no warning or sign, 
You ventured to a world divine.
I refused to say goodbye, 
Yet tonight I cry.
My tears are for you my friend,
But our legacy will not end.
For I shall see you soon, 
But first I have living to do.
I promise I won't forget,
Your face is embedded in my heart.",Death
Troubled Heart,"The moment you took your life
I felt mine ended too.
If I could only turn back time
there's so much I would undo.

I didn't see the warning signs.
You held them deep inside.
Struggles you were going through
you did so well to hide.

I'm left with guilt and sorrow,
and confusion as to why
you didn't tell me of your pain 
and felt you had to die.

Every soul is precious
in the eyes of God above.
He will heal your troubled heart
with His never ending love.

I'll put my faith in Him,
as I pray my heart will mend,
and keep you in my memory
'till I'm with you once again.",Death
Everywhere,"There was no time to say goodbye.
But this I ask - please do not cry.
Remember me as you think best.
Remember the happy times, but forget the rest.

Look for me and I'll be there,
And you will find me everywhere:
In the gentle touch of the breeze 
That cools the skin or swirls the leaves.

In the scent and color of flowers
That gave me such happy hours.
On sunny days, under sunny skies of blue,
Just think of me, I'll be with you.

In winter when there's cloud or mist,
The rain will give to you my kiss.
As wood smoke lingers in the air,
Look for me and I'll be there.

Where seagulls cry above the sea 
And surf rolls in so endlessly.
Among towering trees that soar above,
In all these things that I once loved.

Look for me and I'll be there.
You'll feel my presence EVERYWHERE!",Death
Time Is Meant To Heal,"Although unheard I thank you
For always being there
Even when you were bedridden
You always seemed to care

You meant so much to all of us
you were special and that's no lie
you brightened up the darkest day
and even the greyest sky

Many tears I have seen and cried
They have all poured out like rain
I know that you are happy now
Cause your no longer in pain.

Four years on I remember you
And what you used to say
You made each of us smile
And live to the fullest each day

They say in time it gets easier
I believe this isn't true
Because even after all this time
I still don't have a clue

I was not ready to say goodbye
Your disease just over took
So on this day we remember you
I take a second look

Our friendship is forever
Until death, did we part
Although your away physically
You're always in my heart",Death
The Last Letter,"A tear ran down her cheek
As she read the words he wrote
His dad sat at the table
With a lump in his throat
The letter was stained
With blood mixed with sand
It was a letter
From their son in a far off land
The letter said, Mom the pain I cannot stand
From the shrapnel that ripped through this young man
I feel the pain so badly
It makes me scream and cry
I know I will not see you
I know that I will die
So I just wanted to say
Before God calls me home
Don't worry about me anymore
No, I am not alone
I know that there will be days
That you both sit and cry
I know there will be days
That you wonder why
The reason is Mom
This is what I signed up to do
So that our country can stay free and true
Well, I will go now
Things are starting to fade
No, I am not alone, Mom, nor am I afraid
But before God calls me home there is something
I must say
I thought of you all each and every day
The medic, he is trying to keep me alive and ease my pain
But I must go now
It is time, God, he says so
I love you all and miss you
This is the last letter
The last one I have wrote.",Death
Remember Me,"Remember me when you hear the wind blow.
I am with God, I need you to know.
He called my name, and I went to see
If the voice I heard was speaking to me.
He took my hand, we walked along
The road to heaven, where I belong.
The angels sang so sweet and clear. 
They sang of love and that Jesus is near.
I felt his touch, I saw his face,
I knew in an instant I was in his grace.
He spoke to me, I heard him say,
You are home now child, you have found your way.
So remember me when you hear the wind blow.
I am home now with God, I need you to know.",Death
The Strength Of One Woman,"She played a different role in all our
lives, a mother, a sister, and a
grandmother, no matter what the love
we have for her is one, ask anyone
they'll tell you the same, she brought
us joy when we had pain , the strength
and love of one women held all of us
together even more now then ever, she
isn't physically here but we still
feel her near in every step we take
and every move we make, what she's
giving to us no one can ever replace.",Death
My Little One,"Doctor said,
I live only three months.
My little darling,
I helped you walk,
Holding your hand.
I found you berries,
In the nearby bushes.
I plucked you cherries,
Whenever you asked.
You were my friend and companion,
In a country abroad.
I wish you all,
That's good in life.
So my little one,
I say goodbye.",Death
Her Home In Heaven,"When God reached down 
And collected her soul
She reached up knowing 
She had to go

Slipping away peacefully
Her body remained
One final look back
She smiled

Reaching home again
A place she'd forgot
Past memories came flooding
With splendor and awe

God gave back sights
We cannot imagine
She finally found
Her home in heaven

We remember her daily
She does the same
We love her always
It will never change

When it's my time to go
There is one thing I know
That she will be smiling
All the way home",Death
Best Friends,"I know you are in a better place
But I miss looking at your face
You were so young to die
Every night I sit and cry
Wondering why does it have to be this way
It hurts so much because there's nothing I can do or say
That can make you come back to me
There is one thing that's plain to see
That one day we will be together again
And now until then you will always remain my best friend",Death
